LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232030224;0.0;Products;38;38;38;-1;38;-1;38;-1;0.4;0
232030226;0.039302186379928314;Products;38;46;46;-1;46;38;38;-1;0.0;0
232030227;0.03311483870967742;Products;38;61;-1;61;-1;38;38;-1;0.4;1
232030229;0.0015232974910394266;Products;38;49;-1;49;-1;38;39;38;0.4;1
232030230;0.162455770609319;Systems & Services;38;51;-1;51;-1;38;40;38;0.4;1
232030232;0.036160896057347666;Products;38;60;60;-1;60;38;38;-1;0.0;0
232030233;0.0029113620071684588;Products;38;39;-1;39;-1;-1;39;-1;0.4;1
232030234;0.035842293906810034;Products;38;49;49;-1;38;38;-1;-1;0.2;0
232030236;0.0020978136200716846;Products;38;65;-1;65;-1;-1;65;-1;0.4;1
232030238;0.09442591397849463;Products;38;66;66;-1;51;38;38;-1;0.0;0
232030239;0.011640394265232975;Products;38;43;-1;43;-1;-1;43;-1;0.4;1
232030240;0.13978494623655913;Products;38;39;-1;39;-1;-1;-1;39;0.8;1
232030244;0.0330573476702509;Systems & Services;39;51;-1;51;-1;39;40;39;0.4;1
232030246;0.03225806451612903;Products;39;44;-1;44;39;39;39;-1;0.4;1
232030247;0.008827491039426523;Products;39;68;-1;68;-1;39;39;-1;0.4;1
232030248;0.017442078853046595;Products;39;39;-1;39;-1;39;39;39;0.8;1
232030249;0.0172831541218638;Products;39;54;-1;54;-1;-1;39;39;0.8;1
232030251;0.0;Products;39;39;39;-1;-1;-1;-1;-1;0.0;0
232030252;0.055021505376344086;Products;39;39;-1;39;-1;-1;39;-1;0.4;1
232030253;0.01946953405017921;Products;39;43;43;-1;43;39;39;-1;0.0;0
232030254;0.05017921146953405;Products;39;43;-1;43;-1;39;39;-1;0.4;1
232030255;0.014336917562724014;Products;39;39;39;-1;39;-1;39;-1;0.4;0
232030257;0.13978494623655913;Systems & Services;39;68;68;-1;68;68;-1;-1;0.2;0
232030258;0.03942652329749104;Products;39;49;-1;49;39;39;-1;-1;0.2;1
232030259;0.03225806451612903;Products;39;41;41;-1;41;41;-1;-1;0.2;0
232030261;0.03942652329749104;Products;39;72;-1;72;-1;72;-1;-1;0.2;1
